,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1956,reputation,2,29,36211224,12141,0,356,98516,18,1288
1957,reputation,2,29,29974158,12141,0,356,98516,18,1288
1958,reputation,0,29,31714321,12141,0,356,98516,16,1288
1980,reputation,0,17,31924205,14843,0,138,264276,20,1159
1981,reputation,1,42,32539364,21155,0,1006,442351,17,1225
1982,reputation,0,42,34666765,21155,0,1006,442351,17,1225
1983,reputation,2,42,28005285,21155,0,1006,442351,19,1225
1984,reputation,0,42,37577837,21155,0,1006,442351,11,1225
1985,reputation,0,42,26567762,21155,1,1006,442351,17,1225
1986,reputation,0,42,33917916,21155,0,1006,442351,5,1225
1987,reputation,1,42,37622635,21155,0,1006,442351,11,1225
1988,reputation,0,42,33879230,21155,0,1006,442351,15,1225
1989,reputation,2,42,32571234,21155,1,1006,442351,20,1225
1990,reputation,2,42,32797001,21155,0,1006,442351,17,1225
1991,reputation,5,42,37597375,21155,0,1006,442351,17,1225
1992,reputation,1,42,37262857,21155,0,1006,442351,17,1225
1993,reputation,1,42,35208692,21155,0,1006,442351,16,1225
1994,reputation,0,42,36508334,21155,0,1006,442351,13,1225
1995,reputation,3,42,27234656,21155,0,1006,442351,17,1225
1996,reputation,1,42,33271278,21155,0,1006,442351,7,1225
2035,reputation,0,36,28203036,11002,1,144,17440,12,686
2064,reputation,0,272,30871945,63153,0,2547,16511,15,4808
2066,reputation,0,5,36984669,12536,0,515,123033,10,1377
2067,reputation,0,5,37191593,12536,0,515,123033,17,1377
2085,reputation,0,6,33734985,15351,1,316,428404,18,641
2115,reputation,0,572,37466249,55945,0,2228,37947,19,3541
2139,reputation,0,46,26648659,48375,1,1526,11898,16,2398
2140,reputation,0,46,36445618,48375,1,1526,11898,17,2398
2141,reputation,0,595,30827959,22540,1,2471,15371,17,1276
2142,reputation,0,595,33067682,22540,0,2471,15371,18,1276
2143,reputation,0,595,34655850,22540,0,2471,15371,19,1276
2160,reputation,0,158,32126303,12393,0,604,1239189,11,3044
2199,reputation,0,28,36290253,20079,0,543,40834,10,648
2209,reputation,0,409,36910912,106900,0,2692,1317805,11,9067
2210,reputation,0,409,35842913,106900,0,2692,1317805,13,9067
2228,reputation,0,80,36722862,34287,0,1230,687677,4,2485
2380,reputation,0,97,37257134,235072,1,927,6068,18,10965
2381,reputation,0,97,37093383,235072,1,927,6068,11,10965
2382,reputation,0,97,37330755,235072,0,927,6068,10,10965
2383,reputation,0,97,33842576,235072,0,927,6068,6,10965
2384,reputation,0,97,36953621,235072,0,927,6068,11,10965
